year,month,poly_id,order_1,order_2,order_3
2000,1,FRA1,92.6702014709008,541.175096936225,5034.58438582414
2000,2,FRA1,52.6553276085659,140.706398321295,540.632198122316
2000,3,FRA1,33.3574741872467,72.0676870239148,209.766061481878
2000,4,FRA1,49.3688896365764,119.037651957799,348.164760334052
2000,5,FRA1,41.2876107408838,147.291119583454,892.402144831116
2000,6,FRA1,43.4659746576702,123.611183072535,472.559120738057
2000,7,FRA1,74.8336848326548,366.235918255805,3093.01133869896
2000,8,FRA1,127.602570391939,1534.03864847239,38742.5516741377
2000,9,FRA1,129.418188669269,1051.35929356318,14146.3151881928
2000,10,FRA1,72.3962102046286,288.257180156368,1578.19896968769
2000,11,FRA1,116.792531802823,701.368399830722,5607.08657591922
2000,12,FRA1,63.1209643459226,274.092527791043,1675.84062700922
2000,1,FRA2,70.07345133628,247.301780512081,1086.62119186748
2000,2,FRA2,55.2621495856501,168.42409097153,643.951266728729
2000,3,FRA2,44.5991925502693,181.976980528437,1264.39706593053
2000,4,FRA2,38.6117719281618,84.5035723909259,232.832992595523
2000,5,FRA2,51.2648188965877,203.86226894653,1261.86553145424
2000,6,FRA2,49.3130344264188,161.200090973653,737.309783415525
2000,7,FRA2,103.274534451337,914.882734309755,16403.4567460158
2000,8,FRA2,119.745776570972,848.237134251746,9075.03687092091
2000,9,FRA2,158.926538550296,1281.62194328959,12707.6781625576
2000,10,FRA2,118.927985850871,840.305752560719,8400.36106602169
2000,11,FRA2,160.279588256232,1707.36506164355,25737.0035859307
2000,12,FRA2,58.5648111919924,213.704042346225,993.518897797375
2000,1,FRA3,335.614858753403,4707.44322572285,76488.3045800865
2000,2,FRA3,122.787081112953,1066.9548043392,14133.7565215902
2000,3,FRA3,184.696673372669,3630.44537583757,160822.625573217
2000,4,FRA3,454.185292816501,44356.1916072014,8201041.09066486
2000,5,FRA3,286.848018311142,3702.93581849197,57492.2246388343
2000,6,FRA3,376.079989234058,8891.99015991598,352418.921098208
2000,7,FRA3,212.249116999651,2497.78388140283,36233.145028267
2000,8,FRA3,95.6177362094419,852.235875375388,11761.2748872668
2000,9,FRA3,66.6919859536476,512.323623356078,5912.24332959882
2000,10,FRA3,66.7783695345953,420.614847935432,5288.76772931384
2000,11,FRA3,139.889607287747,1243.65165815187,15386.6374586118
2000,12,FRA3,219.575024582017,2847.81739649001,50845.0894593113
2000,1,PT20,65.8878444991185,470.286676063775,4919.4908467421
2000,2,PT20,36.6063262596317,271.408822768997,2872.57338117263
2000,3,PT20,55.765671273092,530.242249428623,6556.36961486908
2000,4,PT20,107.668944611735,787.010263666369,7350.35321742186
2000,5,PT20,41.4555577797854,200.243007545023,1507.73978660075
2000,6,PT20,62.2437269227318,776.530022949783,14051.5817291202
2000,7,PT20,53.9369887220169,345.486766323435,4543.14016841862
2000,8,PT20,24.2948136710041,40.3113909338561,86.5511510565897
2000,9,PT20,30.577085312061,79.3067227870329,287.458300583826
2000,10,PT20,41.2307457911619,201.262061300106,1515.24458985616
2000,11,PT20,132.911862505352,3436.8837139585,126036.440259506
2000,12,PT20,188.503184234385,2288.00396703297,37510.3970595782
2000,1,IS00,120.017526010581,1145.91431661629,16487.9825423109
2000,2,IS00,153.942811771742,2181.01374849885,50419.30721739
2000,3,IS00,193.689983468236,2946.55830399925,66074.897981537
2000,4,IS00,51.56070996916,412.135054032027,5025.3419152034
2000,5,IS00,97.6325619822165,852.342238257926,11031.3242940502
2000,6,IS00,67.7653735297886,535.683380115499,6045.8260454455
2000,7,IS00,59.6135473568717,672.556491202993,11918.8621220122
2000,8,IS00,80.7981207313572,655.246110643513,8093.28741553314
2000,9,IS00,123.03327098057,2208.93665705606,66552.6303639282
2000,10,IS00,101.765175123668,1112.90914623675,21203.7659803329
2000,11,IS00,100.619999920907,1133.30158260335,19112.3686093387
2000,12,IS00,79.939275140601,779.593655071763,12703.0449764022
2000,1,ES70,35.5269911924212,342.765215025221,5079.26316083657
2000,2,ES70,12.2644127351928,87.4238737590861,840.440190099978
2000,3,ES70,1.95911865082832,1.99263280042032,4.85231180963299
2000,4,ES70,19.3107995463427,67.7596453628647,439.432399488377
2000,5,ES70,15.554754714646,29.6028489147486,100.018319682933
2000,6,ES70,5.83414905038684,5.08945571153693,8.07302560850751
2000,7,ES70,6.12666462946592,5.46379075754378,9.25431132795116
2000,8,ES70,3.68710625865636,1.81309762445326,1.81572338439401
2000,9,ES70,4.25950550434293,2.86878382992911,3.41821012829664
2000,10,ES70,11.4215909922917,13.4974172260188,23.8199883748887
2000,11,ES70,14.2980650384559,76.4657675867472,1027.88486379484
2000,12,ES70,26.8386177062392,130.083913319175,928.068896096088
2000,1,PT30,91.0029231579453,903.302395913207,13569.043277717
2000,2,PT30,13.2072910061483,30.6705700798945,106.258942088652
2000,3,PT30,12.0210033914864,32.0682227330992,146.860919138826
2000,4,PT30,131.628148343335,3193.33870530988,105994.158148249
2000,5,PT30,70.2977041212801,327.316631920367,2020.95526390931
2000,6,PT30,6.71564169902293,7.14831950123929,10.3819132911861
2000,7,PT30,7.76415939618432,10.9360217107465,24.192848048209
2000,8,PT30,4.45134574235979,4.39134251909968,5.55776513406558
2000,9,PT30,10.5893808295288,11.6675108497195,18.5754944685097
2000,10,PT30,18.9181105248375,30.2050266653477,61.1453577663614
2000,11,PT30,55.2560232518881,526.298004926992,8529.31502244126
2000,12,PT30,180.133400857204,4699.92770621093,188697.847603549
2000,1,IE02,48.6619002064985,422.28321246406,6169.17162064676
2000,2,IE02,79.0702472812692,431.492232834582,3307.11693621398
