"","cntry_name","admin_name","cntry_code","geolevel2","amd1_code","adm1code","adm2code","adm2_2000","adm2_2001","adm2_2002","adm2_2003","adm2_2004","adm2_2005","adm2_2006","adm2_2007","adm2_2008","adm2_2009","adm2_2010","adm2_2011","adm2_2012","adm2_2013","adm2_2014","adm2_2012_b","adm2_2013_b","adm2_2014_b","adm2_2015","adm2_2016","adm2_2017","adm2_2018","adm2_2019","check_name"
"1","Mexico","Acapulco de Juarez","484","484012001","012",12,1,"Acapulco de JuÃ¡rez","Acapulco de JuÃ¡rez","Acapulco de JuÃ¡rez","Acapulco de JuÃ¡rez","Acapulco de JuÂ rez","Acapulco de JuÂ rez","Acapulco de JuÂ rez","Acapulco de JuÂ rez","Acapulco de JuÂ rez","Acapulco de JuÃ¡rez","Acapulco de JuÂ rez","Acapulco de JuÂ rez","Acapulco de JuÂ rez","Acapulco de JuÃ¡rez","Acapulco de JuÃ¡rez","Acapulco de Ju rez","Acapulco de Juárez","Acapulco de Juárez","Acapulco de Juárez","Acapulco de Juárez","Acapulco de Juárez","Acapulco de Juárez","Acapulco de Juárez",16
"2","Mexico","Ahuacuotzingo","484","484012002","012",12,2,"Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo","Ahuacuotzingo",0
"3","Mexico","Ajuchitlan del Progreso","484","484012003","012",12,3,"AjuchitlÃ¡n del Progreso","AjuchitlÃ¡n del Progreso","AjuchitlÃ¡n del Progreso","AjuchitlÃ¡n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÃ¡n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÂ n del Progreso","AjuchitlÃ¡n del Progreso","AjuchitlÃ¡n del Progreso","Ajuchitl n del Progreso","Ajuchitlán del Progreso","Ajuchitlán del Progreso","Ajuchitlán del Progreso","Ajuchitlán del Progreso","Ajuchitlán del Progreso","Ajuchitlán del Progreso","Ajuchitlán del Progreso",16
"4","Mexico","Alcozauca de Guerrero","484","484012004","012",12,4,"Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero","Alcozauca de Guerrero",0
"5","Mexico","Alpoyeca","484","484012005","012",12,5,"Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca","Alpoyeca",0
"6","Mexico","Apaxtla","484","484012006","012",12,6,"Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla","Apaxtla",0
"7","Mexico","Arcelia","484","484012007","012",12,7,"Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia","Arcelia",0
"8","Mexico","Atenango del Rio","484","484012008","012",12,8,"Atenango del RÃ­o","Atenango del RÃ­o","Atenango del RÃ­o","Atenango del RÃ­o","Atenango del RÂ¡o","Atenango del RÂ¡o","Atenango del RÂ¡o","Atenango del RÂ¡o","Atenango del RÂ¡o","Atenango del RÃ­o","Atenango del RÂ¡o","Atenango del RÂ¡o","Atenango del RÂ¡o","Atenango del RÃ­o","Atenango del RÃ­o","Atenango del R¡o","Atenango del Río","Atenango del Río","Atenango del Río","Atenango del Río","Atenango del Río","Atenango del Río","Atenango del Río",16
"9","Mexico","Atlamajalcingo del Monte","484","484012009","012",12,9,"Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte","Atlamajalcingo del Monte",0
"10","Mexico","Atlixtac","484","484012010","012",12,10,"Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac","Atlixtac",0
