year,month,poly_id,order_1,order_2,order_3,order_4,order_5
2008,1,FRA1,759.123101299481,18594.8862925351,455622.316636756,11167242.2474584,273788836.363161
2008,2,FRA1,693.914888567824,16611.0750983644,397805.332215124,9530656.7486452,228429683.870015
2008,3,FRA1,737.907794090511,17571.8122590651,418604.866912357,9976183.37897966,237846161.433136
2008,4,FRA1,736.531043099978,18102.91891738,445438.220733794,10972378.5248883,270570970.323917
2008,5,FRA1,790.280919130647,20161.5184112054,514723.775164369,13149889.5307143,336166785.073549
2008,6,FRA1,796.746678541569,21168.0580365683,562602.820982587,14958267.7169866,397848381.962001
2008,7,FRA1,824.027006759672,21911.0776009409,582811.829137475,15507260.3787875,412746766.402959
2008,8,FRA1,838.893017813822,22708.7773663462,614925.266516542,16656795.1384656,451336171.592691
2008,9,FRA1,802.421064494224,21474.5778587334,575028.939310948,15406322.2456557,413003614.985528
2008,10,FRA1,823.240495127709,21869.6758916053,581175.713447328,15449731.4553014,410848441.324168
2008,11,FRA1,783.365457512997,20464.7257873291,534865.359737668,13985522.0610385,365853479.578748
2008,12,FRA1,771.895184931019,19230.8195496343,479385.009687465,11957015.3933421,298412744.96709
2008,1,FRA2,762.806272564897,18776.5293542887,462342.854307788,11388328.3921373,280609285.96158
2008,2,FRA2,697.829607646492,16799.5428053031,404610.103812483,9749043.18702795,235000295.767471
2008,3,FRA2,747.004037841461,18008.9002864481,434363.057764646,10481379.1397436,253035956.706394
2008,4,FRA2,749.317885550732,18734.0935223262,468832.799386688,11744072.9933472,294463469.637361
2008,5,FRA2,811.871289813089,21271.9226074253,557592.634644176,14622268.8439776,383616031.210257
2008,6,FRA2,795.190246378587,21086.8816300647,559427.42430623,14847854.7079966,394249063.144394
2008,7,FRA2,821.287407892389,21768.8747005638,577273.440588417,15315435.259106,406515033.252356
2008,8,FRA2,834.178225536834,22456.4943023335,604796.676738844,16295191.802975,439228481.436394
2008,9,FRA2,803.990601489368,21560.7633403486,578577.618463704,15536181.3191402,417458026.653447
2008,10,FRA2,821.761819365097,21791.1146435538,578043.672918859,15338684.33926,407155551.432305
2008,11,FRA2,784.470708278724,20523.8016224186,537233.045976074,14069856.9382996,368669228.330233
2008,12,FRA2,774.498623274682,19360.1744749606,484201.21813511,12116266.8174944,303344743.562597
2008,1,FRA3,767.673754970075,19023.8966709157,471766.36093103,11707281.6433403,290725841.484998
2008,2,FRA3,712.04522615061,17498.8154889146,430427.019065632,10596890.0581861,261122026.444494
2008,3,FRA3,764.978175958996,18895.164906346,467158.142378648,11560745.9927873,286360697.057349
2008,4,FRA3,758.26827423534,19184.2353365046,485831.037947704,12315276.8014798,312478455.53752
2008,5,FRA3,775.588331219957,19424.7742459502,487005.711671285,12222603.5918486,307074131.812326
2008,6,FRA3,748.575842746118,18689.4597469561,466877.066959544,11669483.860236,291838453.230529
2008,7,FRA3,774.05748323019,19339.7027054263,483490.381996909,12094390.6005698,302715816.265881
2008,8,FRA3,814.600291142091,21419.3125680407,563562.143543241,14837156.0166625,390867326.327163
2008,9,FRA3,807.562535894775,21751.2935384527,586200.783990919,15807327.032819,426500527.560904
2008,10,FRA3,857.04298736724,23706.3407142587,656062.642201929,18165311.7796565,503216741.349048
2008,11,FRA3,835.159557918595,23261.6978299975,648240.582874705,18073944.219682,504185787.567836
2008,12,FRA3,811.32479074506,21257.5525741221,557590.744791141,14641973.393606,384913454.227176
2008,1,PT20,481.975490470642,7516.65153460401,117585.038688927,1844998.26127218,29036238.4791415
2008,2,PT20,423.607913920131,6215.60032924961,91614.2516246378,1356446.35286503,20173949.5809466
2008,3,PT20,454.706649194832,6686.87164954493,98586.539602006,1457116.67895148,21588906.6473638
2008,4,PT20,440.605853773874,6514.68290458684,96928.8280913742,1450559.09167648,21824968.0674549
2008,5,PT20,517.950714803574,8684.72162934877,146133.347374551,2467452.86338351,41805154.8796155
2008,6,PT20,587.322712621268,11521.2525080321,226451.642367213,4459538.4187028,87989134.3089431
2008,7,PT20,653.8589948837,13808.1286810962,291957.239186344,6180770.25974346,131011652.215113
2008,8,PT20,691.136263128426,15422.5437335279,344460.668056828,7700435.00687149,172299213.549054
2008,9,PT20,622.056488854475,12962.4748441904,271454.99989578,5712756.61327446,120809725.954883
2008,10,PT20,619.307096490544,12429.2034057324,250526.659568882,5070122.0381178,102995664.824727
2008,11,PT20,516.061982485546,8921.86029092997,154983.753536055,2704567.52133302,47401803.4210817
2008,12,PT20,481.223639969572,7507.61464090296,117714.620488419,1854953.88796964,29377039.9066939
2008,1,IS00,-114.170601993896,888.985796484543,-6402.59102744182,57263.6429950928,-515334.620929161
2008,2,IS00,-85.9605789266031,875.723458194171,-7275.19026451762,87932.7826039552,-1101935.29131376
2008,3,IS00,-92.7295758097826,590.058056815576,-3966.17687081349,32407.9474226879,-283473.203739948
2008,4,IS00,-22.0172099264324,425.123040676743,-1395.04657491821,19848.6994321871,-125869.863904585
2008,5,IS00,154.118475170513,1095.22148149031,8580.01076176197,73048.6995281315,652195.284566402
2008,6,IS00,210.786641732839,1720.74154259354,14928.9834988902,136624.553254169,1298444.75346417
2008,7,IS00,313.53287744487,3462.50635533413,40530.7071961837,497352.72003145,6357127.15363459
2008,8,IS00,272.637679312715,2612.66668185153,26353.4320850608,278050.643092163,3061096.18861821
2008,9,IS00,206.025403586844,1714.68180443004,15207.8868867623,143274.492437837,1399341.85488933
2008,10,IS00,-30.1286433694125,646.536327874725,-2715.79896988629,39659.8313790077,-296055.418116773
