year,month,poly_id,order_1,order_2,order_3,order_4,order_5
1998,1,FRA1,773.604012628287,19312.4479501641,482297.987333961,12049001.1721081,301121744.608048
1998,2,FRA1,708.323447617711,17925.011948365,453775.695848996,11491498.6073352,291115622.846977
1998,3,FRA1,774.962653590231,19382.200191488,484986.595721613,12141206.1757594,304088781.914774
1998,4,FRA1,774.224382757575,19993.1578766636,516610.475273235,13357047.1054317,345558200.952107
1998,5,FRA1,824.907098482035,21961.1669466757,584938.814750936,15587185.4147521,415551412.441482
1998,6,FRA1,806.284547686262,21675.3118721186,582844.241768899,15676531.243248,421752717.6546
1998,7,FRA1,833.594609518918,22421.4064174887,603232.630729654,16233796.5715423,436986425.612227
1998,8,FRA1,845.352477497681,23058.9084584138,629164.630135135,17171741.7683143,468801223.385259
1998,9,FRA1,814.608396499104,22126.5418179703,601193.965344533,16339977.0707186,444245830.48695
1998,10,FRA1,833.733148216639,22435.7401013977,604086.419908517,16274231.6824328,438674158.956008
1998,11,FRA1,776.19648730909,20096.8488097102,520699.476865314,13500381.1485494,350268657.22529
1998,12,FRA1,783.094129897898,19794.3253377747,500655.753687985,12670880.3056081,320878575.91025
1998,1,FRA2,779.103365434167,19589.2200084625,492748.643993309,12399882.2166752,312169990.263748
1998,2,FRA2,715.08294605238,18267.4959192121,466793.150166418,11931402.6161506,305055516.334678
1998,3,FRA2,791.474860217102,20215.9726339583,516576.380307092,13205569.4177111,337724583.745017
1998,4,FRA2,784.491459986257,20525.383881937,537312.274914056,14073136.6368272,368790681.743344
1998,5,FRA2,831.646775988588,22316.6206668765,599004.508967463,16082135.4287004,431885976.382566
1998,6,FRA2,803.39643118384,21520.8274234594,576644.105280987,15455247.5009668,414345561.704655
1998,7,FRA2,829.620461321729,22208.1868654925,594650.45971831,15926653.4143232,426678260.358508
1998,8,FRA2,842.486400891688,22905.3346684113,622992.308427618,16951211.6145875,461413703.747761
1998,9,FRA2,810.284549683563,21892.9178663879,591725.005385759,15998776.1793898,432717542.202186
1998,10,FRA2,830.211730018633,22245.0725636186,596341.67124692,15994527.7275817,429201395.321233
1998,11,FRA2,781.372017155281,20370.3625734549,531546.201452929,13882935.4875886,362924168.078674
1998,12,FRA2,782.666366538197,19773.6786053678,499909.865119865,12646985.3781098,320162920.826958
1998,1,FRA3,790.954661538339,20190.5774641359,515646.17853684,13175266.8425314,336798553.580993
1998,2,FRA3,738.927427955671,19511.5330667549,515493.39426473,13626783.1334405,360411555.380578
1998,3,FRA3,806.395371344369,20988.434860911,546581.159557681,14241928.1467353,371295322.105867
1998,4,FRA3,783.751850235937,20491.0967577758,536142.080721058,14038520.9140518,367864777.888781
1998,5,FRA3,816.917759756219,21541.3827246426,568389.339812218,15006997.280053,396474770.850267
1998,6,FRA3,768.478894861302,19694.377135402,504953.25682082,12952624.4056639,332400082.615258
1998,7,FRA3,798.388120391039,20574.3622764571,530513.606316626,13687449.057121,353347881.225654
1998,8,FRA3,818.555025838361,21632.3303138512,572173.756086313,15146827.6827572,401314118.460305
1998,9,FRA3,818.438184894643,22345.2228271384,610543.899756663,16694816.1193168,456854558.840201
1998,10,FRA3,852.194547420709,23442.5298892789,645294.103917942,17774493.0830799,489916275.285771
1998,11,FRA3,792.584497364661,20958.9917278194,554745.165240435,14696459.4550471,389695692.270846
1998,12,FRA3,797.241056408515,20544.1154878178,530445.876859006,13722558.5718583,355674514.522158
1998,1,PT20,428.665819586724,6014.6734320144,85543.2197004529,1231766.79192778,17935229.1115922
1998,2,PT20,385.024789127974,5353.83238598624,75247.499833454,1068430.65210584,15317335.7188052
1998,3,PT20,444.444943718373,6400.13520343577,92559.6269199727,1344197.17242787,19600287.0562081
1998,4,PT20,442.964126990645,6565.62032431615,97679.4089400487,1458502.68477644,21854589.2856425
1998,5,PT20,507.604698277413,8376.39452679947,139249.599859154,2331124.63186093,39282300.3227684
1998,6,PT20,560.195404981311,10491.0347635919,197020.078303426,3709969.09369386,70041197.8847339
1998,7,PT20,673.486682951843,14666.4761336517,320137.946835787,7003994.02592965,153579046.912954
1998,8,PT20,714.135640192974,16454.6074878837,379211.710002764,8741036.51621558,201525815.573295
1998,9,PT20,670.015316691413,14982.8487847242,335455.083590083,7519494.56117792,168748976.314483
1998,10,PT20,650.840874690062,13679.2713205267,287823.838536753,6062708.19497843,127844772.047671
1998,11,PT20,571.185461740322,10933.5971900237,210424.003163773,4071717.76338463,79213852.1388162
1998,12,PT20,511.949148170504,8527.96169485235,143227.057150874,2424258.96562425,41335547.0665373
1998,1,IS00,-85.2045944694551,1040.84301653955,-11451.527229957,164762.640718299,-2494806.78994798
1998,2,IS00,-132.214457333789,1259.93045358882,-13015.466857118,163545.071857867,-2258554.14911509
1998,3,IS00,-161.886979779645,2150.28617589077,-28038.5481925153,439658.385711848,-7273743.93852574
1998,4,IS00,-28.5139716647547,413.393285745323,-1941.62559680667,23948.8186555039,-204160.624039907
1998,5,IS00,110.339790826864,740.797877216495,4778.32194135463,39121.0293410363,314397.994358408
1998,6,IS00,168.749408067391,1283.08853875408,10639.4231151174,96554.645889652,927843.56534097
1998,7,IS00,233.283768774799,2034.49518516157,19189.4166987348,191976.522303757,2011256.15950223
1998,8,IS00,267.655439318496,2529.98895438536,25224.4131799102,261892.792530365,2809178.16317795
1998,9,IS00,140.724907817805,1053.75460614549,8789.87598157108,84236.5162723808,866839.303681092
1998,10,IS00,-25.1656149444973,681.543502680361,-1901.66204734729,46370.7098259039,-268467.251177459
1998,11,IS00,-47.2204245024243,673.611196957744,-4751.83865967207,57974.4888047351,-660172.602413978
1998,12,IS00,-66.5440942964746,703.836591443769,-4404.46088154519,48430.9849759709,-449374.46760735
1998,1,ES70,528.960569587825,9099.019907644,157700.596139171,2752552.54369885,48364550.4970633
1998,2,ES70,511.483400286277,9392.59749458386,173333.226726521,3213654.03122472,59845484.0778509
1998,3,ES70,562.683791414826,10294.8885187848,189796.022596974,3524705.04217038,65917132.8179013
1998,4,ES70,504.419810212433,8526.53928314045,144876.563161912,2474126.61950428,42463478.0693357
1998,5,ES70,532.442216444163,9184.64924643182,159090.220534767,2766543.36082043,48292103.9719381
1998,6,ES70,577.673678596303,11164.8070107533,216648.16103858,4222240.04824999,82677362.4321618
1998,7,ES70,625.649304093184,12675.8091565997,257824.553025043,5265134.28590468,107961351.317193
1998,8,ES70,663.303396777002,14256.0384685261,307855.458146853,6681802.06941938,145810079.114136
1998,9,ES70,633.622691446618,13403.208771698,283954.966881699,6024873.02833567,128026589.946334
1998,10,ES70,631.884403734912,12924.7778103541,265281.325895078,5463605.14138432,112910367.717306
1998,11,ES70,588.822405641971,11659.6444772892,232877.340992765,4690564.01108851,95258305.5761816
1998,12,ES70,517.665050636228,8698.25814545561,146997.447231961,2497485.71181299,42643628.7360131
1998,1,PT30,447.745648060121,6515.14040231207,95498.7888986807,1409978.65058102,20966567.9342019
1998,2,PT30,424.031323598479,6461.6161137416,99077.5379409584,1528527.71284595,23724399.7940084
1998,3,PT30,486.330493085665,7692.09684324097,122619.715107543,1969353.51574224,31854590.6048615
1998,4,PT30,449.4210561443,6754.83008104999,101850.167054193,1540466.62973154,23369154.625643
1998,5,PT30,484.699079521402,7617.42851388655,120319.86710225,1909967.74426303,30467885.0585612
1998,6,PT30,546.963200936728,9996.52890233047,183126.065824345,3362154.77983402,61860004.7983386
1998,7,PT30,617.421782693098,12323.8532847286,246515.574755101,4941536.67958185,99262176.7005934
1998,8,PT30,646.616775515068,13505.8822274464,282486.431928467,5916688.73217508,124100660.71178
1998,9,PT30,639.841107848773,13665.7625490498,292287.385211584,6260416.78057583,134281048.41555
1998,10,PT30,609.162175019848,11995.7307983535,236734.379171362,4682249.76082827,92816164.719504
1998,11,PT30,551.474913119943,10188.8559994495,189177.804593234,3529426.2494046,66155634.3017059
1998,12,PT30,477.008630705057,7371.59824648442,114421.406470948,1784021.83028754,27943099.9546578
1998,1,IE02,186.206652734955,1373.07456640794,11570.0318628238,107271.380929859,1066158.65608286
1998,2,IE02,221.432248581814,1989.56109802227,19106.3456112967,191423.865625302,1977866.13833815
1998,3,IE02,259.649738226907,2268.66789516819,20481.7566962136,189903.936049731,1800990.53231066
1998,4,IE02,215.521147773601,1729.71435976068,14755.5772354159,130497.988692165,1182457.9623914
1998,5,IE02,373.173026740465,4608.76801817796,58397.3046510125,758907.880182413,10108481.7056972
1998,6,IE02,392.872540955596,5226.35157002438,70580.3316009553,967066.768694963,13436738.8346814
1998,7,IE02,448.766310594223,6521.69356054549,95140.3074010355,1393220.88010405,20479490.1915661
1998,8,IE02,473.921891168969,7304.15390717838,113494.231148542,1778033.90644338,28085803.5168343
