year,month,poly_id,order_1,order_2,order_3,order_4,order_5
2003,1,FRA1,777.256421672331,19494.5911679483,489114.914760835,12275929.9105486,308208311.014701
2003,2,FRA1,695.007674426593,17255.5315002583,428522.973029865,10644536.0666356,264475869.706834
2003,3,FRA1,773.697844965524,19313.3182726959,482190.102727726,12040808.2032393,300724625.902694
2003,4,FRA1,768.309138831511,19689.6676713222,504921.495302104,12956502.6465045,332679054.014844
2003,5,FRA1,809.655992695332,21154.0960143359,552894.031383808,14455768.8506596,378086107.23324
2003,6,FRA1,790.027639659782,20811.6301234796,548417.941257889,14456323.7401521,381191863.57874
2003,7,FRA1,820.222463943145,21708.1226996096,574690.034102813,15218294.2653717,403106040.672631
2003,8,FRA1,832.162135985475,22343.5682718973,600061.248342371,16118968.0702225,433089462.825088
2003,9,FRA1,820.308386569126,22438.4978731219,613999.97252819,16807306.5099854,460235802.845248
2003,10,FRA1,832.039625000587,22341.2886196149,600141.748905842,16127993.1370208,433597838.871627
2003,11,FRA1,788.29073681689,20723.8681544742,545099.273587154,14345044.9697637,377703406.985121
2003,12,FRA1,793.549348011548,20331.7779460343,521390.296541606,13382385.1428926,343782496.211667
2003,1,FRA2,771.968598634296,19231.5868856847,479299.747679897,11950192.0008068,298069220.74143
2003,2,FRA2,693.307040143273,17171.5195153201,425407.592156952,10541758.3101645,261294436.335766
2003,3,FRA2,774.732690772348,19365.624560778,484172.683893363,12107595.1497724,302833567.367772
2003,4,FRA2,771.564402574868,19857.3111026772,511401.076320986,13179271.22479,339864144.024555
2003,5,FRA2,814.836625643775,21422.3253109921,563312.631197011,14815583.8075329,389739144.228192
2003,6,FRA2,788.57882871164,20733.8342583094,545285.539085914,14344234.0383755,377432183.810274
2003,7,FRA2,816.459489673131,21507.517771718,566668.155638274,14933112.9030498,393599972.134321
2003,8,FRA2,824.761876276877,21950.0776758473,584365.567453302,15562333.1161921,414578496.114464
2003,9,FRA2,813.632874691503,22074.4176874535,599104.623849883,16265515.6694392,441757418.776328
2003,10,FRA2,828.546286174428,22155.0298519515,592690.959695278,15862971.4394669,424757339.472774
2003,11,FRA2,787.031770973193,20658.7280645166,542569.638361567,14257660.8823927,374871322.937079
2003,12,FRA2,795.62995468606,20435.0171458997,525229.858796109,13509220.2777572,347707052.361837
2003,1,FRA3,794.35517655267,20358.6516068701,521871.743997717,13380067.5391646,343108786.666303
2003,2,FRA3,720.183768596809,18526.229868451,476638.336715469,12264472.6648218,315621478.816011
2003,3,FRA3,806.008846648172,20961.5345870268,545270.402352751,14187529.0413365,369239369.498908
2003,4,FRA3,787.122811071559,20656.7141892083,542222.008663637,14236061.2662926,373851367.051139
2003,5,FRA3,803.536725152481,20833.6132515487,540304.012915018,14016075.6724314,363688203.407194
2003,6,FRA3,771.734189938547,19855.9769328953,510965.930289576,13151337.2066939,338551929.819494
2003,7,FRA3,805.49599365912,20936.5194959183,544357.642825849,14158010.8010014,368347401.751218
2003,8,FRA3,834.47994964265,22471.8923466412,605388.548022775,16315515.1890455,439886438.755942
2003,9,FRA3,816.100379121816,22205.087048406,604292.679425962,16448546.0433667,447808580.738809
2003,10,FRA3,847.919318103343,23198.9462494392,634893.298891455,17380007.6110127,475898145.150137
2003,11,FRA3,803.573931807663,21528.1687904127,576852.318326207,15459595.7343879,414388025.443268
2003,12,FRA3,807.851920829153,21058.9122339454,549127.590661162,14323291.5343635,373717737.379202
2003,1,PT20,447.89373521045,6501.65187318128,94801.2087616267,1388209.60830016,20410803.5731364
2003,2,PT20,374.233789085739,5063.37108912257,69279.6161018997,957641.166655143,13360259.3457754
2003,3,PT20,409.270741660566,5432.79746342478,72505.6381900533,972789.97094823,13119641.3515033
2003,4,PT20,409.083396784313,5619.79879533563,77753.2300416704,1083112.11114186,15186330.525594
2003,5,PT20,516.836718569787,8670.36457236843,146304.694512845,2482294.44391674,42330857.8039108
